Адрес,Порт,Пакеты,Байты,Пакетов отправлено,Байтов отправлено,Пакетов получено,Байтов получено
"192.168.31.1",6465,7,960,4,661,3,299
"192.168.31.1",6466,7,960,4,661,3,299
"192.168.31.1",6469,7,960,4,661,3,299
"192.168.31.1",6470,7,960,4,661,3,299
"192.168.31.1",6471,7,960,4,661,3,299
"192.168.31.1",6472,7,960,4,661,3,299
"192.168.31.1",6473,7,960,4,661,3,299
"192.168.31.1",6474,7,960,4,661,3,299
"192.168.31.1",6475,7,960,4,661,3,299
"192.168.31.1",6476,7,960,4,661,3,299
"192.168.31.1",6477,7,960,4,661,3,299
"192.168.31.1",6478,7,960,4,661,3,299
"192.168.31.1",6479,7,960,4,661,3,299
"192.168.31.1",6480,7,960,4,661,3,299
"192.168.31.1",6482,7,960,4,661,3,299
"192.168.31.1",6483,7,960,4,661,3,299
"192.168.31.1",6486,7,960,4,661,3,299
"192.168.31.1",6487,7,960,4,661,3,299
"192.168.31.1",6488,7,960,4,661,3,299
"192.168.31.1",6489,7,960,4,661,3,299
"192.168.31.1",6491,7,960,4,661,3,299
"192.168.31.1",6492,7,960,4,661,3,299
"192.168.31.1",6493,7,960,4,661,3,299
"192.168.31.1",6494,7,960,4,661,3,299
"192.168.31.21",2869,168,23040,72,7176,96,15864
"192.168.31.21",49152,12,10968,11,10902,1,66
"192.168.31.21",49153,12,10936,11,10870,1,66
"192.168.31.21",49154,12,10977,11,10911,1,66
"192.168.31.21",49156,12,10968,11,10902,1,66
"192.168.31.21",49158,12,11073,11,11007,1,66
"192.168.31.21",49159,27,12370,14,5736,13,6634
"192.168.31.21",49160,11,823,6,368,5,455
"192.168.31.21",49161,11,781,6,368,5,413
"192.168.31.21",49162,11,823,6,368,5,455
"192.168.31.21",49165,32,11691,16,3569,16,8122
"192.168.31.21",49167,51,11899,24,4761,27,7138
"192.168.31.21",49168,13,5952,6,2063,7,3889
"192.168.31.21",49169,19,7098,10,2583,9,4515
"192.168.31.21",49172,37,13855,16,4061,21,9794
